2018-04-03 08:11:54,516 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: lojaApp:lojaApp:0.0.1-SNAPSHOT @ D:\Web\Digital-business-enablement\lojaApp\pom.xml.
2018-04-03 08:11:58,468 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 08:11:58,469 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Web\Digital-business-enablement\lojaApp\src\main\resources
2018-04-03 08:11:58,471 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 08:11:58,473 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Web\Digital-business-enablement\lojaApp\src\test\resources
2018-04-03 08:14:47,108 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: lojaApp:lojaApp:0.0.1-SNAPSHOT @ D:\Web\Digital-business-enablement\lojaApp\pom.xml.
2018-04-03 08:14:48,007 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 08:14:48,008 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Web\Digital-business-enablement\lojaApp\src\main\resources
2018-04-03 08:14:48,010 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 08:14:48,011 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Web\Digital-business-enablement\lojaApp\src\test\resources
2018-04-03 08:14:48,127 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of lojaApp
2018-04-03 08:14:48,128 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for lojaApp
2018-04-03 08:14:48,131 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2018-04-03 08:14:48,139 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 08:15:09,530 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
